iter	Passed	Remaining
0	1	1486
1	2	1159
2	2	920
3	3	809
4	3	700
5	3	620
6	4	591
7	4	585
8	5	567
9	5	549
10	6	555
11	6	543
12	7	532
13	7	526
14	7	516
15	9	553
16	9	545
17	9	537
18	10	545
19	11	545
20	12	573
21	12	567
22	13	576
23	14	575
24	14	573
25	15	572
26	15	571
27	16	568
28	16	567
29	18	591
30	18	586
31	19	588
32	19	585
33	20	581
34	21	585
35	21	587
36	22	583
37	23	588
38	24	598
39	24	593
40	25	590
41	25	591
42	26	590
43	26	586
44	27	584
45	28	585
46	28	581
47	29	576
48	29	579
49	30	581
50	31	578
51	31	574
52	32	574
53	32	572
54	34	584
55	34	587
56	35	588
57	36	589
58	36	587
59	37	584
60	37	581
61	38	579
62	39	584
63	39	583
64	40	580
65	41	581
66	42	586
67	42	586
68	43	584
69	43	581
70	44	580
71	45	580
72	45	580
73	46	580
74	47	582
75	47	582
76	48	583
77	49	583
78	49	580
79	50	582
80	51	583
81	52	589
82	53	588
83	53	588
84	54	585
85	54	583
86	55	583
87	56	583
88	56	581
89	57	579
90	58	587
91	59	584
92	59	582
93	60	579
94	60	579
95	61	580
96	62	579
97	63	581
98	64	583
99	64	581
100	65	581
101	65	580
102	66	578
103	67	580
104	68	580
105	68	578
106	69	577
107	69	577
108	70	576
109	71	577
110	71	575
111	72	574
112	73	575
113	74	575
114	74	575
115	75	573
116	75	571
117	76	569
118	76	568
119	77	568
120	78	569
121	79	570
122	79	569
123	80	568
124	81	567
125	81	566
126	83	572
127	83	571
128	84	569
129	84	567
130	85	565
131	86	565
132	86	565
133	87	566
134	88	566
135	88	564
136	89	566
137	90	564
138	90	562
139	91	560
140	91	558
141	92	556
142	92	555
143	93	554
144	94	555
145	95	556
146	95	555
147	96	554
148	96	552
149	97	551
150	98	551
151	98	548
152	98	546
153	99	545
154	99	544
155	100	543
156	101	542
157	101	540
158	101	539
159	102	538
160	103	537
161	103	537
162	104	536
163	104	534
164	105	534
165	106	533
166	106	531
167	107	531
168	107	529
169	108	528
170	108	527
171	109	527
172	110	526
173	110	525
174	111	524
175	111	524
176	112	524
177	113	522
178	113	521
179	114	521
180	114	519
181	115	518
182	115	517
183	116	516
184	117	516
185	117	514
186	118	514
187	118	512
188	119	512
189	120	513
190	121	513
191	122	517
192	123	516
193	124	515
194	124	514
195	125	513
196	125	511
197	125	510
198	126	510
199	127	511
200	128	510
201	128	509
202	129	508
203	130	507
204	130	506
205	132	512
206	134	514
207	134	513
208	135	513
209	136	514
210	137	514
211	138	515
212	139	514
213	140	516
214	141	515
215	141	514
216	142	512
217	142	511
218	143	510
219	143	509
220	144	508
221	144	507
222	145	506
223	145	505
224	146	504
225	147	503
226	147	502
227	148	501
228	148	500
229	149	499
230	149	497
231	150	496
232	150	495
233	151	496
234	152	495
235	152	494
236	153	494
237	154	493
238	154	491
239	154	490
240	155	489
241	156	488
242	156	487
243	157	486
244	157	485
245	158	484
246	158	484
247	159	483
248	160	484
249	161	485
250	162	484
251	162	483
252	163	482
253	163	481
254	164	480
255	164	478
256	165	478
257	165	476
258	166	476
259	166	474
260	168	476
261	168	475
262	169	474
263	170	474
264	170	473
265	171	472
266	172	473
267	173	473
268	174	473
269	175	473
270	175	473
271	177	473
272	177	472
273	178	472
274	178	471
275	179	470
276	179	469
277	180	468
278	180	467
279	181	466
280	182	467
281	183	467
282	184	468
283	185	467
284	185	466
285	186	466
286	187	466
287	188	466
288	189	465
289	189	464
290	190	464
291	191	464
292	192	463
293	193	464
294	194	464
295	194	463
296	195	463
297	196	462
298	196	461
299	197	460
300	198	459
301	198	459
302	199	458
303	199	457
304	200	457
305	201	456
306	202	456
307	202	456
308	203	455
309	204	455
310	205	454
311	205	454
312	206	454
313	207	453
314	207	452
315	208	451
316	209	451
317	210	450
318	210	450
319	211	449
320	212	449
321	213	449
322	214	448
323	214	447
324	215	446
325	215	446
326	216	446
327	217	445
328	218	445
329	218	444
330	220	444
331	221	445
332	222	444
333	222	443
334	222	442
335	223	441
336	223	440
337	224	439
338	225	438
339	226	439
340	226	438
341	227	437
342	227	436
343	228	435
344	229	435
345	230	435
346	231	435
347	232	435
348	233	434
349	234	434
350	235	434
351	235	434
352	236	433
353	237	433
354	238	433
355	239	433
356	240	432
357	240	431
358	241	431
359	241	430
360	242	428
361	243	428
362	244	428
363	244	427
364	245	426
365	245	425
366	246	424
367	247	425
368	248	424
369	248	423
370	249	423
371	250	422
372	251	422
373	251	421
374	252	421
375	253	420
376	253	419
377	254	419
378	255	418
379	256	418
380	257	418
381	258	417
382	259	417
383	259	416
384	260	415
385	261	415
